segment_type,start_change_direction,end_change_direction,normalized_percent,segment_count,avg_knee_angle_deg,avg_torso_inclination_abs_deg,avg_neck_inclination_abs_deg
sube_a_baja|baja_a_sube,sube_a_baja,baja_a_sube,35,4,117.62,37.3,58.55
sube_a_baja|baja_a_sube,sube_a_baja,baja_a_sube,36,4,116.07,37.5,58.72
sube_a_baja|baja_a_sube,sube_a_baja,baja_a_sube,37,4,114.52,37.68,58.88
sube_a_baja|baja_a_sube,sube_a_baja,baja_a_sube,38,4,112.95,37.86,59.01
sube_a_baja|baja_a_sube,sube_a_baja,baja_a_sube,39,4,111.36,38.03,59.15
sube_a_baja|baja_a_sube,sube_a_baja,baja_a_sube,40,4,109.79,38.2,59.27
sube_a_baja|baja_a_sube,sube_a_baja,baja_a_sube,41,4,108.23,38.35,59.41
sube_a_baja|baja_a_sube,sube_a_baja,baja_a_sube,42,4,106.73,38.49,59.56
sube_a_baja|baja_a_sube,sube_a_baja,baja_a_sube,43,4,105.28,38.63,59.7
sube_a_baja|baja_a_sube,sube_a_baja,baja_a_sube,44,4,103.88,38.75,59.86
sube_a_baja|baja_a_sube,sube_a_baja,baja_a_sube,45,4,102.53,38.86,60.0
sube_a_baja|baja_a_sube,sube_a_baja,baja_a_sube,46,4,101.23,38.95,60.16
sube_a_baja|baja_a_sube,sube_a_baja,baja_a_sube,47,4,99.99,39.03,60.32
sube_a_baja|baja_a_sube,sube_a_baja,baja_a_sube,48,4,98.82,39.12,60.48
sube_a_baja|baja_a_sube,sube_a_baja,baja_a_sube,49,4,97.72,39.2,60.65
sube_a_baja|baja_a_sube,sube_a_baja,baja_a_sube,50,4,96.67,39.26,60.83
sube_a_baja|baja_a_sube,sube_a_baja,baja_a_sube,51,4,95.71,39.33,61.02
sube_a_baja|baja_a_sube,sube_a_baja,baja_a_sube,52,4,94.78,39.4,61.19
sube_a_baja|baja_a_sube,sube_a_baja,baja_a_sube,53,4,93.88,39.48,61.35
sube_a_baja|baja_a_sube,sube_a_baja,baja_a_sube,54,4,93.02,39.55,61.5
sube_a_baja|baja_a_sube,sube_a_baja,baja_a_sube,55,4,92.17,39.62,61.64
sube_a_baja|baja_a_sube,sube_a_baja,baja_a_sube,56,4,91.37,39.7,61.77
sube_a_baja|baja_a_sube,sube_a_baja,baja_a_sube,57,4,90.59,39.76,61.89
sube_a_baja|baja_a_sube,sube_a_baja,baja_a_sube,58,4,89.85,39.81,62.02
sube_a_baja|baja_a_sube,sube_a_baja,baja_a_sube,59,4,89.14,39.86,62.13
sube_a_baja|baja_a_sube,sube_a_baja,baja_a_sube,60,4,88.47,39.89,62.25
sube_a_baja|baja_a_sube,sube_a_baja,baja_a_sube,61,4,87.82,39.92,62.37
sube_a_baja|baja_a_sube,sube_a_baja,baja_a_sube,62,4,87.25,39.95,62.48
sube_a_baja|baja_a_sube,sube_a_baja,baja_a_sube,63,4,86.71,39.97,62.59
sube_a_baja|baja_a_sube,sube_a_baja,baja_a_sube,64,4,86.22,39.99,62.68
sube_a_baja|baja_a_sube,sube_a_baja,baja_a_sube,65,4,85.79,40.02,62.79
sube_a_baja|baja_a_sube,sube_a_baja,baja_a_sube,66,4,85.38,40.04,62.9
sube_a_baja|baja_a_sube,sube_a_baja,baja_a_sube,67,4,85.0,40.06,63.0
sube_a_baja|baja_a_sube,sube_a_baja,baja_a_sube,68,4,84.66,40.09,63.09
sube_a_baja|baja_a_sube,sube_a_baja,baja_a_sube,69,4,84.31,40.12,63.17
sube_a_baja|baja_a_sube,sube_a_baja,baja_a_sube,70,4,83.99,40.14,63.23
sube_a_baja|baja_a_sube,sube_a_baja,baja_a_sube,71,4,83.67,40.17,63.29
sube_a_baja|baja_a_sube,sube_a_baja,baja_a_sube,72,4,83.34,40.2,63.34
sube_a_baja|baja_a_sube,sube_a_baja,baja_a_sube,73,4,83.03,40.23,63.38
sube_a_baja|baja_a_sube,sube_a_baja,baja_a_sube,74,4,82.73,40.26,63.43
sube_a_baja|baja_a_sube,sube_a_baja,baja_a_sube,75,4,82.42,40.29,63.47
sube_a_baja|baja_a_sube,sube_a_baja,baja_a_sube,76,4,82.12,40.31,63.51
sube_a_baja|baja_a_sube,sube_a_baja,baja_a_sube,77,4,81.83,40.33,63.55
sube_a_baja|baja_a_sube,sube_a_baja,baja_a_sube,78,4,81.58,40.35,63.61
sube_a_baja|baja_a_sube,sube_a_baja,baja_a_sube,79,4,81.34,40.36,63.65
sube_a_baja|baja_a_sube,sube_a_baja,baja_a_sube,80,4,81.11,40.37,63.71
sube_a_baja|baja_a_sube,sube_a_baja,baja_a_sube,81,4,80.9,40.38,63.77
sube_a_baja|baja_a_sube,sube_a_baja,baja_a_sube,82,4,80.69,40.37,63.82
sube_a_baja|baja_a_sube,sube_a_baja,baja_a_sube,83,4,80.5,40.37,63.87
sube_a_baja|baja_a_sube,sube_a_baja,baja_a_sube,84,4,80.32,40.36,63.91
sube_a_baja|baja_a_sube,sube_a_baja,baja_a_sube,85,4,80.15,40.34,63.94
sube_a_baja|baja_a_sube,sube_a_baja,baja_a_sube,86,4,79.99,40.33,63.97
sube_a_baja|baja_a_sube,sube_a_baja,baja_a_sube,87,4,79.84,40.31,63.98
sube_a_baja|baja_a_sube,sube_a_baja,baja_a_sube,88,4,79.68,40.28,64.0
sube_a_baja|baja_a_sube,sube_a_baja,baja_a_sube,89,4,79.51,40.26,64.02
sube_a_baja|baja_a_sube,sube_a_baja,baja_a_sube,90,4,79.38,40.23,64.02
sube_a_baja|baja_a_sube,sube_a_baja,baja_a_sube,91,4,79.25,40.2,64.03
sube_a_baja|baja_a_sube,sube_a_baja,baja_a_sube,92,4,79.14,40.17,64.01
sube_a_baja|baja_a_sube,sube_a_baja,baja_a_sube,93,4,79.06,40.14,63.99
sube_a_baja|baja_a_sube,sube_a_baja,baja_a_sube,94,4,79.0,40.12,63.95
sube_a_baja|baja_a_sube,sube_a_baja,baja_a_sube,95,4,78.98,40.09,63.91
sube_a_baja|baja_a_sube,sube_a_baja,baja_a_sube,96,4,78.98,40.06,63.87
sube_a_baja|baja_a_sube,sube_a_baja,baja_a_sube,97,4,79.01,40.04,63.83
sube_a_baja|baja_a_sube,sube_a_baja,baja_a_sube,98,4,79.09,40.02,63.78
sube_a_baja|baja_a_sube,sube_a_baja,baja_a_sube,99,4,79.22,40.0,63.73
sube_a_baja|baja_a_sube,sube_a_baja,baja_a_sube,100,4,79.44,39.98,63.69
